Target ISOs: 3403
Filter: count < 50
Allow fillers: false

iso | premixCount | grade
wangkatha | 12 | wangkatha_unq1,wangkatha_unq2,wangkatha_unq3,wangkatha_unq4,wangkatha_unq5
wlv | 12 | wlv_unq1,wlv_unq2,wlv_unq3,wlv_unq4,wlv_unq5
wne | 12 | wne_unq1,wne_unq2,wne_unq3,wne_unq4,wne_unq5
xav | 12 | xav_unq1,xav_unq2,xav_unq3,xav_unq4,xav_unq5
xer | 12 | xer_unq1,xer_unq2,xer_unq3,xer_unq4,xer_unq5
yalunka | 12 | yalunka_unq1,yalunka_unq2,yalunka_unq3,yalunka_unq4,yalunka_unq5
ybi | 12 | ybi_unq1,ybi_unq2,ybi_unq3,ybi_unq4,ybi_unq5
yi | 12 | yi_unq1,yi_unq2,yi_unq3,yi_unq4,yi_unq5
yulu | 12 | yulu_unq1,yulu_unq2,yulu_unq3,yulu_unq4,yulu_unq5
yup | 12 | yup_unq1,yup_unq2,yup_unq3,yup_unq4,yup_unq5
corsican | 10 | corsican_unq1,corsican_unq2,corsican_unq3,corsican_unq4,corsican_unq5
