i,name,file,seeds,d,m,min,max,region,family,reviewed
295,Kunigami,namebases-asia.js,41,eo,0,4,11,Asia,Northern Ryukyuan,[ ]
296,Okinawan,namebases-asia.js,41,eo,0,4,11,Asia,Okinawan Ryukyuan,[ ]
297,Butler English,namebases-europe.js,50,lnrt,0,4,11,Misc,English-based,[ ]
300,Abaza,namebases-asia.js,41,cltr,0,4,11,Caucasus,Northwest Caucasian,[ ]
301,Hawaiian,namebases-oceania.js,36,elm,0,10,30,Pacific,Polynesian,[ ]
303,Bzyb,namebases-asia.js,41,cltr,0,4,11,Caucasus,Northwest Caucasian,[ ]
304,Aghul,namebases-asia.js,41,cltr,0,4,11,Caucasus,Northeast Caucasian,[ ]
305,Anindilyakwa,namebases-oceania.js,36,el,0,10,20,Australia,Australian Aboriginal,[ ]
306,Gunwinggu,namebases-oceania.js,36,lnrt,0,10,25,None,None,[ ]
307,West African English Creole,namebases-africa.js,47,lnrt,0,4,12,None,None,[ ]
308,Anatolian Arabic,namebases-asia.js,41,bns,0,4,11,Middle East,Mesopotamian,[ ]
310,Baghdadi Arabic,namebases-asia.js,41,bns,0,4,11,Middle East,Mesopotamian,[ ]
311,Bahraini Gulf Arabic,namebases-asia.js,41,bns,0,4,11,Middle East,Peninsular,[ ]
312,Harari-Argobba,namebases-africa.js,47,bns,0,4,12,None,None,[ ]
313,Bukharian Arabic,namebases-asia.js,41,bns,0,4,11,Middle East,Central Asian,[ ]
314,Cairene Arabic,namebases-asia.js,41,bns,0,4,11,Middle East,Egypto-Sudanic,[ ]
315,Central Asian Arabic,namebases-asia.js,41,bns,0,4,11,Middle East,Central Asian,[ ]
316,Ainu,namebases-asia.js,41,eo,0,4,11,Asia,Japonic,[ ]
317,Hachijo,namebases-asia.js,41,eo,0,4,11,Asia,Japanese dialects,[ ]
318,Japanese dialects,namebases-asia.js,41,eo,0,4,11,None,None,[ ]
319,Pohnpeian,namebases-oceania.js,36,lnrt,0,10,20,None,None,[ ]
320,Japanese macro,namebases-asia.js,41,eo,0,4,11,None,None,[ ]
321,Ryukyuan,namebases-asia.js,41,ktps,0,4,11,Asia,Ryukyuan,[ ]
322,Egyptian Arabic,namebases-asia.js,41,ae,0,4,11,Middle East,Egyptian Arabic,[ ]
323,Angevin,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
324,Burgundian,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
325,Champenois,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
326,Poitevin,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
327,Saintongeais,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
328,Aas-whistled,namebases-europe.js,50,lnrt,0,4,11,None,None,[ ]
329,Aranese,namebases-europe.js,50,lnrs,0,4,11,Europe,Gascon Occitan,[ ]
330,B-arnese,namebases-europe.js,50,lnrt,0,4,11,None,None,[ ]
331,Abruzzese,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
332,Arianese,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
333,Barese,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
334,Basilicatine,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
335,Benevento,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
336,Cilentan,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
337,Cosentino,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
338,Irpino,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
340,Bundjalung,namebases-oceania.js,36,lnrt,0,4,12,Australia,Australian Aboriginal,[ ]
341,Northern Calabrian,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
342,Pugliese,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
343,South Lucanian,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
344,Southern Latian,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
345,Southern Laziale,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
346,Tarantino,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
347,Vastese,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
