score	kind	iso	name	family	category	lexifier	base	baseName	baseTopFamily	baseTopShare	baseTotal
14.000	base_family_outlier	ipiko	Ipiko	Inland Gulf	Papuan		520	North New Guinea	Southeast Papuan	0.7	20
14.000	base_family_outlier	korafe	Korafe	Binanderean	Papuan		520	North New Guinea	Southeast Papuan	0.7	20
14.000	base_family_outlier	north-new-guinea	North New Guinea	Austronesian	Austronesian		520	North New Guinea	Southeast Papuan	0.7	20
13.000	base_family_outlier	fut	Fut	Grassfields Bantoid	Niger-Congo		121	Ga	Niger-Congo	0.8666666666666667	15
13.000	base_family_outlier	ga	Ga	GaΓÇôDangme	Niger-Congo		121	Ga	Niger-Congo	0.8666666666666667	15
12.000	base_family_outlier	fon	Fon	Gbe	Niger-Congo		122	Fon	Niger-Congo	0.9230769230769231	13
12.000	base_family_outlier	guinea-bissau-creole	Guinea-Bissau Creole	Portuguese-based	Creole	Portuguese	307	West African English Creole	English-based	0.9230769230769231	13
10.000	base_family_outlier	bemba	Bemba	Bantu	Niger-Congo		377	Bemba-Bembe-Fwe	Niger-Congo	0.7142857142857143	14
10.000	base_family_outlier	bembe-congo	Bembe Congo	Bantu	Niger-Congo		377	Bemba-Bembe-Fwe	Niger-Congo	0.7142857142857143	14
10.000	base_family_outlier	bembe-drc	Bembe DRC	Bantu	Niger-Congo		377	Bemba-Bembe-Fwe	Niger-Congo	0.7142857142857143	14
10.000	base_family_outlier	dida	Dida	Kru	Niger-Congo		125	Dida	Niger-Congo	0.9090909090909091	11
10.000	base_family_outlier	fwe	Fwe	Bantu	Niger-Congo		377	Bemba-Bembe-Fwe	Niger-Congo	0.7142857142857143	14
9.000	base_family_outlier	amdang	Amdang	Fur	Nilo-Saharan		123	Bete	Niger-Congo	0.8181818181818182	11
9.000	base_family_outlier	bete	Bete	Kru	Niger-Congo		123	Bete	Niger-Congo	0.8181818181818182	11
9.000	base_family_outlier	cai-long	Cai Long	Sino-Tibetan	Sino-Tibetan		104	Cai-Long	Bai	0.9	10
